0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,label,split
-33.0,-33.0,-38.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.2875,-35.2342,-33.0,-35.0,-41.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.5599,-34.706,-33.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0568,-34.3864,-35.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0505,-34.2816,-34.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9064,-35.4485,-34.0,-37.0,-42.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9161,-34.1134,-32.0,-37.0,-42.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.7145,-34.3694,-32.0,-33.0,-41.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.0088,-34.4011,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3814,-35.1026,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0616,-34.2428,0.5_0.5,train
-33.0,-35.0,-41.0,-55.0,-53.0,-53.0,-59.0,-60.0,34.5599,-34.706,-33.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0568,-34.3864,-35.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0505,-34.2816,-34.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9064,-35.4485,-34.0,-37.0,-42.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9161,-34.1134,-32.0,-37.0,-42.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.7145,-34.3694,-32.0,-33.0,-41.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.0088,-34.4011,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3814,-35.1026,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0616,-34.2428,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3977,-34.6808,0.5_0.5,train
-33.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0568,-34.3864,-35.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0505,-34.2816,-34.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9064,-35.4485,-34.0,-37.0,-42.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9161,-34.1134,-32.0,-37.0,-42.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.7145,-34.3694,-32.0,-33.0,-41.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.0088,-34.4011,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3814,-35.1026,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0616,-34.2428,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3977,-34.6808,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-59.0,-60.0,34.1868,-35.4469,0.5_0.5,train
-35.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0505,-34.2816,-34.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9064,-35.4485,-34.0,-37.0,-42.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9161,-34.1134,-32.0,-37.0,-42.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.7145,-34.3694,-32.0,-33.0,-41.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.0088,-34.4011,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3814,-35.1026,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0616,-34.2428,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3977,-34.6808,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-59.0,-60.0,34.1868,-35.4469,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-67.0,-65.0,34.3772,-34.5568,0.5_0.5,train
-34.0,-34.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9064,-35.4485,-34.0,-37.0,-42.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9161,-34.1134,-32.0,-37.0,-42.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.7145,-34.3694,-32.0,-33.0,-41.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.0088,-34.4011,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3814,-35.1026,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0616,-34.2428,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3977,-34.6808,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-59.0,-60.0,34.1868,-35.4469,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-67.0,-65.0,34.3772,-34.5568,-32.0,-33.0,-41.0,-54.0,-53.0,-52.0,-67.0,-65.0,35.6057,-34.458,0.5_0.5,train
-34.0,-37.0,-42.0,-54.0,-53.0,-53.0,-59.0,-60.0,33.9161,-34.1134,-32.0,-37.0,-42.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.7145,-34.3694,-32.0,-33.0,-41.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.0088,-34.4011,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3814,-35.1026,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0616,-34.2428,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3977,-34.6808,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-59.0,-60.0,34.1868,-35.4469,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-67.0,-65.0,34.3772,-34.5568,-32.0,-33.0,-41.0,-54.0,-53.0,-52.0,-67.0,-65.0,35.6057,-34.458,-32.0,-33.0,-41.0,-54.0,-53.0,-52.0,-57.0,-65.0,34.4005,-33.4601,0.5_0.5,train
-32.0,-37.0,-42.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.7145,-34.3694,-32.0,-33.0,-41.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.0088,-34.4011,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3814,-35.1026,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0616,-34.2428,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3977,-34.6808,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-59.0,-60.0,34.1868,-35.4469,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-67.0,-65.0,34.3772,-34.5568,-32.0,-33.0,-41.0,-54.0,-53.0,-52.0,-67.0,-65.0,35.6057,-34.458,-32.0,-33.0,-41.0,-54.0,-53.0,-52.0,-57.0,-65.0,34.4005,-33.4601,-32.0,-31.0,-41.0,-54.0,-53.0,-52.0,-57.0,-65.0,34.455,-33.8056,0.5_0.5,train
-32.0,-33.0,-41.0,-53.0,-53.0,-53.0,-59.0,-60.0,34.0088,-34.4011,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3814,-35.1026,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0616,-34.2428,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3977,-34.6808,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-59.0,-60.0,34.1868,-35.4469,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-67.0,-65.0,34.3772,-34.5568,-32.0,-33.0,-41.0,-54.0,-53.0,-52.0,-67.0,-65.0,35.6057,-34.458,-32.0,-33.0,-41.0,-54.0,-53.0,-52.0,-57.0,-65.0,34.4005,-33.4601,-32.0,-31.0,-41.0,-54.0,-53.0,-52.0,-57.0,-65.0,34.455,-33.8056,-33.0,-31.0,-45.0,-54.0,-53.0,-52.0,-57.0,-65.0,35.5844,-33.9274,0.5_0.5,train
-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3814,-35.1026,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0616,-34.2428,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3977,-34.6808,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-59.0,-60.0,34.1868,-35.4469,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-67.0,-65.0,34.3772,-34.5568,-32.0,-33.0,-41.0,-54.0,-53.0,-52.0,-67.0,-65.0,35.6057,-34.458,-32.0,-33.0,-41.0,-54.0,-53.0,-52.0,-57.0,-65.0,34.4005,-33.4601,-32.0,-31.0,-41.0,-54.0,-53.0,-52.0,-57.0,-65.0,34.455,-33.8056,-33.0,-31.0,-45.0,-54.0,-53.0,-52.0,-57.0,-65.0,35.5844,-33.9274,-33.0,-29.0,-45.0,-56.0,-53.0,-52.0,-57.0,-65.0,35.632,-33.6614,0.5_0.5,train
-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,35.0616,-34.2428,-32.0,-33.0,-41.0,-54.0,-53.0,-53.0,-59.0,-60.0,34.3977,-34.6808,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-59.0,-60.0,34.1868,-35.4469,-32.0,-33.0,-41.0,-54.0,-53.0,-54.0,-67.0,-65.0,34.3772,-34.5568,-32.0,-33.0,-41.0,-54.0,-53.0,-52.0,-67.0,-65.0,35.6057,-34.458,-32.0,-33.0,-41.0,-54.0,-53.0,-52.0,-57.0,-65.0,34.4005,-33.4601,-32.0,-31.0,-41.0,-54.0,-53.0,-52.0,-57.0,-65.0,34.455,-33.8056,-33.0,-31.0,-45.0,-54.0,-53.0,-52.0,-57.0,-65.0,35.5844,-33.9274,-33.0,-29.0,-45.0,-56.0,-53.0,-52.0,-57.0,-65.0,35.632,-33.6614,-36.0,-29.0,-41.0,-56.0,-53.0,-52.0,-57.0,-65.0,34.6203,-33.2666,0.5_0.5,train
