timestamp,tag_id,x,y,type
1782448637.6064105,0xD0,0.4263626124867877,0.5364312654712992,UWB
1782448639.3404377,0xD0,0.5770589002268893,0.4017840742273196,UWB
1782448639.7701082,0xD0,0.6786103546507455,0.4586580889403546,UWB
1782448641.6382086,0xD0,1.154772449405638,0.5846201618117032,UWB
1782448642.7223544,0xD0,1.129272951162421,0.6099821786009456,UWB
1782448643.6451108,0xD0,1.2426711189839292,0.3906397395850794,UWB
1782448644.7658212,0xD0,1.0385502052711728,0.3435374181765395,UWB
1782448646.4053411,0xD0,1.316666837018793,0.4326336203453738,UWB
1782448648.2631476,0xD0,0.858022369782768,0.6563352461523513,UWB
1782448652.649534,0xD0,0.6513047392873679,1.4266821181092917,UWB
1782448653.0589533,0xD0,0.7222842674329866,1.54324328810265,UWB
1782448655.2074866,0xD0,0.7143398697319649,2.0618204954213724,UWB
1782448655.621331,0xD0,0.6604986937840426,2.2723258685419315,UWB
1782448656.636723,0xD0,0.7761605516249586,2.341874274781343,UWB
1782448657.3644707,0xD0,0.746132016407631,2.6608144317818994,UWB
1782448658.2780778,0xD0,0.3432415459151051,2.943271270931888,UWB
1782448660.736058,0xD0,0.653678625042957,3.4982820173616256,UWB
1782448660.990801,0xD0,0.4383387751788867,3.6490743852582654,UWB
1782448661.962657,0xD0,0.413183789393409,4.033525435747031,UWB
1782448663.4985044,0xD0,0.2680236554325454,4.206700794437865,UWB
1782448664.0134616,0xD0,0.3542400148119529,4.284849445415031,UWB
1782448665.8554132,0xD0,0.3935793305678854,4.475288953187053,UWB
1782448668.4084678,0xD0,0.636559102587945,5.122179840767904,UWB
1782448669.3379583,0xD0,0.6973432114201458,4.883553287650057,UWB
1782448670.252473,0xD0,0.671585858993836,5.352777011449952,UWB
1782448671.657339,0xD0,0.7515285393777456,4.93469549942539,UWB
1782448673.93802,0xD0,0.649114153520047,5.435920622961619,UWB
1782448674.654128,0xD0,0.7717718736529088,5.004174667955699,UWB
1782448675.2720172,0xD0,0.6381878491317873,5.452659838174291,UWB
1782448675.4842403,0xD0,0.6843848045507897,5.742322308070986,UWB
1782448677.617942,0xD0,0.436319690885778,6.113508822577954,UWB
1782448678.128486,0xD0,0.3786388052257465,6.524995383344176,UWB
1782448679.9243302,0xD0,0.2202143427437024,7.056364454181995,UWB
1782448682.4306798,0xD0,0.261134767996248,7.338195913619782,UWB
1782448683.9649134,0xD0,0.22138974215436,7.571700197725142,UWB
1782448685.1938455,0xD0,0.3643882092892896,7.884391156216302,UWB
1782448686.9324086,0xD0,0.2630509208002209,8.07850728648572,UWB
1782448687.853428,0xD0,0.8946364081121478,8.278902015724608,UWB
1782448688.7814276,0xD0,0.7966347945732547,8.214964935371013,UWB
1782448690.3559897,0xD0,1.4876324850236813,8.644411290524815,UWB
1782448692.4685488,0xD0,1.361699435808185,8.638968522014757,UWB
1782448694.4864595,0xD0,1.1637242581033047,8.640915965489496,UWB
1782448696.039141,0xD0,2.123467922307284,8.708135370894226,UWB
1782448698.544526,0xD0,1.9931620661829947,8.723739062893767,UWB
1782448699.519667,0xD0,2.1582795549923075,8.714829168976222,UWB
1782448700.9625163,0xD0,2.3507566409815284,8.77015406688942,UWB
1782448702.0037158,0xD0,2.59289426116226,8.788598357620387,UWB
1782448702.8206196,0xD0,2.9484527182257567,8.788328759711102,UWB
1782448703.8241124,0xD0,3.2889398691621645,8.664226518587822,UWB
1782448705.66109,0xD0,3.3664365060706705,8.757104544714705,UWB
1782448706.0090165,0xD0,2.8542734739825786,8.805992412413367,UWB
1782448706.7012527,0xD0,3.2225796363723966,8.83630280791722,UWB
1782448708.6144583,0xD0,3.6032247636693473,8.420206911846757,UWB
1782448710.2729042,0xD0,3.970032758142167,8.767958182805257,UWB
1782448712.7164686,0xD0,4.256875140078636,8.556339836675406,UWB
1782448714.250992,0xD0,4.152503196561828,8.28043209213318,UWB
1782448719.1705382,0xD0,4.749440077315424,7.587176421393147,UWB
1782448719.1815264,0xD0,4.729119303888827,7.171457208151721,UWB
1782448720.907293,0xD0,4.715922728076798,6.945013977145743,UWB
1782448723.249007,0xD0,4.735105884165573,6.5312764073247065,UWB
1782448723.3722155,0xD0,4.781440862004704,6.19075446648143,UWB
1782448723.9945014,0xD0,4.6984041279017145,6.101879573882068,UWB
1782448726.2311485,0xD0,4.613164720529589,5.874268732024616,UWB
1782448727.7648,0xD0,4.674195326303065,5.559187776803371,UWB
1782448728.4862432,0xD0,4.699083056468665,5.243086560436984,UWB
1782448731.3480115,0xD0,4.78121865806729,4.730052229799363,UWB
1782448732.3688972,0xD0,4.648373696230467,4.2628361648852025,UWB
1782448733.844,0xD0,4.826514534917344,3.84632097926479,UWB
1782448734.9484448,0xD0,4.638061742563163,3.5239781246049366,UWB
1782448736.160671,0xD0,4.469155181304926,3.4155485584848977,UWB
1782448737.7710023,0xD0,4.482577334563701,3.185196329645356,UWB
