elapsed_s,tag_hex_id,position_x,position_y,yaw_map
7.331,0xC0,0.0712,0.1,0.69
7.338,0xC0,0.0866,0.1,0.69
7.344,0xC0,0.0988,0.1,0.69
7.352,0xC0,0.1077,0.1,0.69
7.358,0xC0,0.1145,0.1,0.69
7.373,0xC0,0.123,0.1,0.88
7.379,0xC0,0.1273,0.1,0.88
7.386,0xC0,0.1313,0.1,0.88
7.529,0xC0,0.1752,0.1,1.06
7.536,0xC0,0.1553,0.1,1.06
7.542,0xC0,0.1375,0.1,1.06
7.546,0xC0,0.1207,0.1,1.06
7.55,0xC0,0.0835,0.1,1.06
7.554,0xC0,0.0485,0.1,1.06
7.814,0xC0,0.1,0.1,1.69
8.545,0xC0,0.0031,0.1,1.31
8.549,0xC0,0.0217,0.1,1.31
8.554,0xC0,0.0387,0.1,1.31
8.557,0xC0,0.0538,0.1,1.31
8.561,0xC0,0.0667,0.1,1.31
8.596,0xC0,0.0879,0.1,1.44
8.603,0xC0,0.1001,0.1,1.44
8.61,0xC0,0.112,0.1,1.44
8.615,0xC0,0.1145,0.1,1.44
8.623,0xC0,0.1103,0.1,1.44
8.76,0xC0,0.1446,0.1,1.19
8.765,0xC0,0.1338,0.1,1.19
8.772,0xC0,0.125,0.1,1.19
8.861,0xC0,0.1339,0.1,1.19
8.866,0xC0,0.1075,0.1,1.19
8.977,0xC0,0.086,0.1,0.88
9.069,0xC0,0.0459,0.1,0.81
9.073,0xC0,0.0081,0.1,0.81
9.077,0xC0,0.1,0.1,0.81
9.2,0xC0,0.015,0.1,0.81
9.208,0xC0,0.0476,0.1,0.81
9.212,0xC0,0.0676,0.1,0.81
9.216,0xC0,0.0812,0.1,0.81
9.221,0xC0,0.092,0.1,0.81
9.226,0xC0,0.1012,0.1,0.81
9.231,0xC0,0.1142,0.1,0.81
9.235,0xC0,0.126,0.1,0.81
9.241,0xC0,0.137,0.1,0.81
9.27,0xC0,0.1543,0.1,0.81
9.277,0xC0,0.1646,0.1,0.81
9.284,0xC0,0.175,0.1,0.81
9.29,0xC0,0.1839,0.1,0.81
9.297,0xC0,0.1926,0.1,0.81
9.372,0xC0,0.2118,0.1,0.69
9.438,0xC0,0.2223,0.1,0.69
9.577,0xC0,0.2488,0.1,0.62
9.582,0xC0,0.2684,0.1,0.62
9.628,0xC0,0.2903,0.1,0.56
9.678,0xC0,0.2746,0.1,0.44
9.682,0xC0,0.2358,0.1,0.44
9.689,0xC0,0.2062,0.1,0.44
9.783,0xC0,0.2004,0.1,0.31
9.79,0xC0,0.19,0.1,0.31
9.797,0xC0,0.1831,0.1,0.31
9.803,0xC0,0.1779,0.1,0.31
9.81,0xC0,0.174,0.1,0.31
9.813,0xC0,0.1752,0.1,0.31
9.819,0xC0,0.1763,0.1,0.31
9.822,0xC0,0.175,0.1,0.31
9.883,0xC0,0.1718,0.1,0.12
9.885,0xC0,0.1651,0.1,0.12
9.89,0xC0,0.1581,0.1,0.12
9.895,0xC0,0.1518,0.1,0.12
9.9,0xC0,0.146,0.1,0.12
9.904,0xC0,0.1395,0.1,0.12
9.913,0xC0,0.1333,0.1,0.12
9.986,0xC0,0.107,0.1,0.25
9.991,0xC0,0.0916,0.1,0.25
9.998,0xC0,0.078,0.1,0.25
10.003,0xC0,0.0664,0.1,0.25
10.011,0xC0,0.0564,0.1,0.25
10.024,0xC0,0.0465,0.1,0.25
10.033,0xC0,0.0355,0.1,0.25
10.043,0xC0,0.0265,0.1,0.25
10.051,0xC0,0.0182,0.1,0.25
10.06,0xC0,0.0105,0.1,0.25
10.068,0xC0,0.0037,0.1,0.25
10.075,0xC0,0.1,0.1,0.25
10.337,0xC0,0.016,0.1,0.31
10.34,0xC0,0.0507,0.1,0.31
10.346,0xC0,0.086,0.1,0.31
10.35,0xC0,0.1025,0.1,0.31
10.356,0xC0,0.1097,0.1,0.31
10.361,0xC0,0.1134,0.1,0.31
10.367,0xC0,0.1159,0.1,0.31
10.399,0xC0,0.1222,0.1,0.31
10.404,0xC0,0.1232,0.1,0.31
10.411,0xC0,0.1172,0.1,0.31
10.665,0xC0,0.1222,0.1,2.56
10.715,0xC0,0.0984,0.1,2.56
10.719,0xC0,0.0977,0.1,2.56
10.722,0xC0,0.1012,0.1,2.56
10.805,0xC0,0.1025,0.1,0.38
10.809,0xC0,0.1043,0.1,0.38
10.812,0xC0,0.0773,0.1,0.38
10.816,0xC0,0.0351,0.1,0.38
10.82,0xC0,0.0009,0.1,0.38
10.908,0xC0,0.1,0.1,0.12
11.495,0xC0,0.0226,0.1,356.5
11.499,0xC0,0.0358,0.1,356.5
11.502,0xC0,0.0455,0.1,356.5
11.506,0xC0,0.0534,0.1,356.5
11.546,0xC0,0.088,0.1,356.56
11.631,0xC0,0.1537,0.1,356.56
11.792,0xC0,0.2052,0.1,356.31
11.853,0xC0,0.1568,0.1,354.19
11.855,0xC0,0.1033,0.1,354.19
11.857,0xC0,0.0522,0.1,354.19
11.859,0xC0,0.0107,0.1,354.19
11.901,0xC0,0.1,0.1,354.19
11.957,0xC0,0.0252,0.1,354.19
11.999,0xC0,0.0473,0.1,354.19
12.005,0xC0,0.0584,0.1,354.19
12.012,0xC0,0.067,0.1,354.19
12.018,0xC0,0.0737,0.1,354.19
12.059,0xC0,0.0787,0.1,352.62
12.062,0xC0,0.072,0.1,352.62
12.067,0xC0,0.0654,0.1,352.62
12.07,0xC0,0.0514,0.1,352.62
12.075,0xC0,0.0366,0.1,352.62
12.078,0xC0,0.0229,0.1,352.62
12.105,0xC0,0.006,0.1,353.06
12.108,0xC0,0.1,0.1,353.06
12.216,0xC0,0.0014,0.1,353.81
12.341,0xC0,0.0301,0.1,354.38
